name,team,situation,position,icetime,I_F_points,I_F_goals
Johnathan Kovacevic,WPG,all,D,2595,0,0
Marc-Edouard Vlasic,SJS,all,D,68469,14,3
Trevor van Riemsdyk,WSH,all,D,75462,17,1
Nicholas Paul,TBL,all,L,79257,32,16
Filip Chytil,NYR,all,C,52964,22,8
Joel Eriksson Ek,MIN,all,C,85831,49,26
Sam Lafferty,CHI,all,C,45599,13,5
Kurtis MacDermid,COL,all,D,25749,5,2
Connor McDavid,EDM,all,C,105918,123,44
Nicholas Robertson,TOR,all,L,6163,1,1
Corey Perry,TBL,all,R,66516,40,19
Chase Pearson,DET,all,C,1216,0,0
Marco Scandella,STL,all,D,76189,14,3
Conor Garland,VAN,all,R,75706,52,19
Reilly Smith,VGK,all,R,59753,38,16
Jordan Harris,MTL,all,D,9768,1,1
Kurtis Gabriel,CHI,all,R,723,0,0
Scott Mayfield,NYI,all,D,72381,18,3
Lassi Thomson,OTT,all,D,16553,5,0
Derick Brassard,EDM,all,C,35627,19,8
Tyler Myers,VAN,all,D,108130,18,1
Jakub Vrana,DET,all,L,23296,19,13
Matt Kiersted,FLA,all,D,8427,2,1
Linus Sandin,PHI,all,R,419,0,0
Jake Christiansen,CBJ,all,D,4688,1,1
Jonas Brodin,MIN,all,D,102662,30,5
Dan Renouf,DET,all,D,3361,0,0
Nikita Kucherov,TBL,all,R,56352,69,25
Ryan Suter,DAL,all,D,116385,32,7
Steven Lorentz,CAR,all,C,43772,13,8
Evan Bouchard,EDM,all,D,96252,43,12
Isac Lundestrom,ANA,all,C,74331,29,16
Taylor Raddysh,CHI,all,R,54771,22,11
James Neal,STL,all,L,13639,4,2
Austin Watson,OTT,all,L,48206,16,10
Maxim Mamin,FLA,all,C,28568,14,7
Cedric Paquette,MTL,all,C,12759,2,0
Arttu Ruotsalainen,BUF,all,C,12840,4,2
Evgeny Svechnikov,WPG,all,L,46462,19,7
Gabriel Vilardi,LAK,all,C,20271,7,5
Michael Stone,CGY,all,D,11522,6,2
Elias Pettersson,VAN,all,C,89256,68,32
Will Borgen,SEA,all,D,33012,8,2
Valtteri Puustinen,PIT,all,R,614,1,0
Alexei Toropchenko,STL,all,R,18013,2,2
Mark Pysyk,BUF,all,D,72693,12,3
Kaapo Kakko,NYR,all,R,39850,18,7
Vladislav Namestnikov,DAL,all,C,65931,30,16
Trent Frederic,BOS,all,C,41953,18,8
Carter Verhaeghe,FLA,all,C,75043,55,24
Christian Dvorak,MTL,all,L,58380,33,11
Gabriel Fortier,TBL,all,L,5569,1,1
Jeff Malott,WPG,all,L,246,0,0
Anders Bjork,BUF,all,L,41888,8,5
John Moore,BOS,all,D,7378,1,0
Justin Dowling,VAN,all,C,12665,4,2
Tyson Jost,MIN,all,C,61536,20,8
Lawson Crouse,ARI,all,L,67979,34,20
Viktor Lodin,OTT,all,C,625,0,0
Nico Sturm,COL,all,C,52855,20,9
Mark Friedman,PIT,all,D,20713,5,1
Jordan Kyrou,STL,all,C,73601,75,27
Richard Panik,NYI,all,R,3580,1,0
Alex Ovechkin,WSH,all,L,95042,90,50
Austin Poganski,WPG,all,R,8949,0,0
Craig Smith,BOS,all,C,64016,36,16
Dysin Mayo,ARI,all,D,84082,12,4
Kris Russell,EDM,all,D,28719,9,2
Ryan Donato,SEA,all,C,61246,31,16
Elias Lindholm,CGY,all,C,98129,82,42
Niko Mikkola,STL,all,D,55022,13,3
Conor Timmins,ARI,all,D,6389,0,0
Oskar Sundqvist,DET,all,C,49558,23,8
Scott Perunovich,STL,all,D,17622,6,0
Joe Thornton,FLA,all,C,22735,10,5
Jacob Perreault,ANA,all,R,665,0,0
Anthony Duclair,FLA,all,L,66669,58,31
Bokondji Imama,ARI,all,L,1085,1,1
Vladimir Tkachev,LAK,all,L,3356,2,0
Marco Rossi,MIN,all,C,1870,0,0
Colin Blackwell,TOR,all,C,41530,20,10
Travis Hamonic,OTT,all,D,48622,10,4
Anders Lee,NYI,all,L,75841,46,28
Cooper Marody,EDM,all,C,364,1,0
Mason Marchment,FLA,all,L,45744,47,18
Nick Ritchie,ARI,all,L,43439,23,12
Egor Zamula,PHI,all,D,9808,0,0
Rasmus Ristolainen,PHI,all,D,84906,16,2
Nico Hischier,NJD,all,C,81245,60,21
T.J. Oshie,WSH,all,R,46070,25,11
Jan Jenik,ARI,all,R,8327,3,2
Dylan Strome,CHI,all,C,72204,48,22
Rhett Gardner,DAL,all,C,1945,0,0
Matt Luff,NSH,all,R,12982,6,3
Jacob Bryson,BUF,all,D,80302,10,1
Mark Kastelic,OTT,all,C,8816,4,2
Bryce Kindopp,ANA,all,R,366,0,0
Jonathan Toews,CHI,all,C,74445,37,12
Shayne Gostisbehere,ARI,all,D,109178,51,14
Ryan Merkley,SJS,all,D,35984,6,1
Yegor Sharangovich,NJD,all,C,75275,46,24
Jeremy Davies,NSH,all,D,4411,2,0
Lucas Carlsson,FLA,all,D,30507,9,3
Olli Juolevi,DET,all,D,13774,0,0
Jesper Froden,BOS,all,R,5405,1,1
Blake Lizotte,LAK,all,C,51088,24,10
Torey Krug,STL,all,D,78916,43,9
Oliver Ekman-Larsson,VAN,all,D,105758,29,5
Sami Niku,MTL,all,D,11921,6,0
Nicolas Beaudin,CHI,all,D,739,0,0
Kristian Reichel,WPG,all,C,8115,2,1
Dougie Hamilton,NJD,all,D,78952,30,9
Dennis Cholowski,SEA,all,D,10437,3,0
Pat Maroon,TBL,all,L,60245,27,11
Gavin Bayreuther,CBJ,all,D,33685,8,0
Carson Meyer,CBJ,all,R,6417,3,1
Devon Toews,COL,all,D,100462,57,13
Connor Brown,OTT,all,R,77018,39,10
Kasperi Kapanen,PIT,all,R,68883,32,11
Travis Sanheim,PHI,all,D,110257,31,7
Troy Terry,ANA,all,R,82064,67,37
David Savard,MTL,all,D,77341,17,3
Jacob Trouba,NYR,all,D,108985,39,11
Tyce Thompson,NJD,all,R,1730,0,0
Jason Robertson,DAL,all,L,80414,79,41
Jakub Galvas,CHI,all,D,6537,0,0
Anthony Angello,PIT,all,R,1591,0,0
Marcus Foligno,MIN,all,L,72851,42,23
Warren Foegele,EDM,all,L,62052,26,12
J.T. Miller,VAN,all,C,101075,99,32
Cal Clutterbuck,NYI,all,R,49708,15,6
Oliver Bjorkstrand,CBJ,all,R,86159,57,28
Antoine Roussel,ARI,all,L,38614,8,4
Hendrix Lapierre,WSH,all,C,3452,1,1
Vasily Podkolzin,VAN,all,R,60629,26,14
Yakov Trenin,NSH,all,C,70405,24,17
Riley Damiani,DAL,all,C,3585,2,1
Phil Kessel,ARI,all,R,82055,52,8
Roope Hintz,DAL,all,C,86573,72,37
Taro Hirose,DET,all,L,9594,4,1
Nikita Zadorov,CGY,all,D,75081,22,4
Nicholas Abruzzese,TOR,all,C,5516,1,1
Lucas Raymond,DET,all,L,89332,57,23
Ivan Provorov,PHI,all,D,117982,31,9
Jaret Anderson-Dolan,LAK,all,C,5792,0,0
Alexis Lafreniere,NYR,all,L,66339,31,19
Nicklas Backstrom,WSH,all,C,49324,31,6
John Tavares,TOR,all,C,85671,76,27
Auston Matthews,TOR,all,C,90270,106,60
Jamie Drysdale,ANA,all,D,96642,32,4
Erik Haula,BOS,all,L,70637,44,18
Pierre Engvall,TOR,all,L,62164,35,15
Matt Nieto,SJS,all,L,60495,17,6
Andrew Ladd,ARI,all,L,43208,12,7
Derek Stepan,CAR,all,C,37569,19,9
Ross Colton,TBL,all,C,60662,39,22
Jon Lizotte,MIN,all,D,883,0,0
Jonah Gadjovich,SJS,all,L,22590,3,1
Timothy Liljegren,TOR,all,D,60025,23,5
Alex Tuch,BUF,all,R,55225,38,12
Dylan Cozens,BUF,all,C,75330,38,13
Jordan Oesterle,DET,all,D,49375,8,2
Jake Walman,DET,all,D,42913,10,3
Nick Foligno,BOS,all,L,47860,13,2
Robert Hagg,FLA,all,D,61514,9,1
Duncan Keith,EDM,all,D,75751,21,1
Tyler Pitlick,MTL,all,C,26608,5,1
Zach Bogosian,TBL,all,D,44244,8,3
Mike Reilly,BOS,all,D,79577,17,4
Drew O'Connor,PIT,all,L,13574,5,3
Jakob Chychrun,ARI,all,D,64837,21,7
Ryan Hartman,MIN,all,R,89448,65,34
Ryan Nugent-Hopkins,EDM,all,C,73023,50,11
Justin Barron,MTL,all,D,7215,2,1
Clayton Keller,ARI,all,R,80958,63,28
Wyatt Kalynuk,CHI,all,D,3599,0,0
Jakob Silfverberg,ANA,all,R,54184,21,5
Zach Hyman,EDM,all,L,88760,54,27
Kaedan Korczak,VGK,all,D,997,0,0
Alexander Radulov,DAL,all,R,60052,22,4
Oskar Lindblom,PHI,all,L,65417,26,12
Kristians Rubins,TOR,all,D,2115,0,0
Nick Blankenburg,CBJ,all,D,7380,3,1
Riley Barber,DET,all,R,2026,0,0
Kiefer Sherwood,COL,all,L,5654,2,1
Matthew Tkachuk,CGY,all,L,88065,104,42
Connor Bunnaman,PHI,all,C,9009,0,0
Brett Kulak,EDM,all,D,78831,21,5
Garrett Pilon,WSH,all,C,1129,1,1
Sammy Blais,NYR,all,L,11305,4,0
Seth Jarvis,CAR,all,C,56610,40,17
Lukas Reichel,CHI,all,L,8709,1,0
Dawson Mercer,NJD,all,C,81383,42,17
Calvin de Haan,CHI,all,D,78485,8,4
Matt Roy,LAK,all,D,84354,21,2
Miles Wood,NJD,all,L,2657,0,0
Ryan McDonagh,TBL,all,D,95610,26,4
Jake Guentzel,PIT,all,L,91644,84,40
Thomas Harley,DAL,all,D,27927,4,1
Remi Elie,TBL,all,L,657,0,0
Chad Ruhwedel,PIT,all,D,71747,13,4
Damon Severson,NJD,all,D,113268,46,11
Hunter Drew,ANA,all,D,1183,0,0
Brad Marchand,BOS,all,L,80855,80,32
Gregory Hofmann,CBJ,all,C,18008,7,2
Valeri Nichushkin,COL,all,R,70777,52,25
Josh Morrissey,WPG,all,D,112145,37,12
Rudolfs Balcers,SJS,all,L,55035,23,11
Connor Clifton,BOS,all,D,57831,10,2
Andrew Copp,NYR,all,C,82852,53,21
Jasper Weatherby,SJS,all,C,33722,11,5
Jack Ahcan,BOS,all,D,5771,1,1
Jordan Spence,LAK,all,D,28431,8,2
Mattias Samuelsson,BUF,all,D,50379,10,0
Michael Del Zotto,OTT,all,D,28480,13,3
Victor Olofsson,BUF,all,L,66453,49,20
Adam Beckman,MIN,all,L,1874,1,0
Zach Senyshyn,OTT,all,R,783,0,0
Sven Baertschi,VGK,all,L,834,0,0
Brandon Montour,FLA,all,D,86992,37,11
Philippe Myers,NSH,all,D,24103,4,1
William Eklund,SJS,all,C,7737,4,0
Laurent Dauphin,MTL,all,C,30309,12,4
Radim Simek,SJS,all,D,28688,2,1
Jean-Gabriel Pageau,NYI,all,C,81656,39,18
Mikael Granlund,NSH,all,C,97990,64,11
Noah Cates,PHI,all,L,12716,9,5
Mikhail Sergachev,TBL,all,D,105154,38,7
Scott Harrington,CBJ,all,D,6078,1,0
Nicolas Hague,VGK,all,D,58190,14,4
Trevor Moore,LAK,all,C,76241,48,17
Viktor Arvidsson,LAK,all,L,67246,49,20
Joe Pavelski,DAL,all,C,90892,81,27
Thomas Chabot,OTT,all,D,92720,38,7
Sheldon Rempal,VAN,all,R,551,0,0
Jesper Bratt,NJD,all,L,79481,73,26
Brady Tkachuk,OTT,all,L,89107,67,30
David Kampf,TOR,all,C,75106,26,11
Max Comtois,ANA,all,L,44102,16,6
Santeri Hatakka,SJS,all,D,6820,2,0
Brendan Smith,CAR,all,D,37579,8,4
Keith Yandle,PHI,all,D,64583,19,1
Vinnie Hinostroza,BUF,all,C,51603,25,13
Josh Manson,COL,all,D,76290,16,6
Nick Suzuki,MTL,all,C,100910,61,21
Owen Tippett,PHI,all,R,50738,21,10
Alex Galchenyuk,ARI,all,C,47353,21,6
Maxime Lajoie,CAR,all,D,3762,0,0
Calen Addison,MIN,all,D,12410,4,2
Vladislav Kolyachonok,ARI,all,D,30427,3,1
Aaron Ekblad,FLA,all,D,91212,57,15
Noel Acciari,FLA,all,C,14380,8,3
Dmitri Samorukov,EDM,all,D,148,0,0
Cole Caufield,MTL,all,R,67055,43,23
Zdeno Chara,NYI,all,D,80921,14,2
Tyler Bozak,STL,all,C,36493,12,3
Givani Smith,DET,all,R,23736,8,4
Brett Connolly,CHI,all,R,4534,1,0
Egor Sokolov,OTT,all,L,4978,0,0
Max Jones,ANA,all,L,1188,0,0
Tomas Hertl,SJS,all,C,98106,64,30
Artem Zub,OTT,all,D,102254,22,6
Jan Rutta,TBL,all,D,74726,18,3
Mathieu Perreault,MTL,all,C,16882,9,4
Tanner Pearson,VAN,all,L,65504,34,14
Brayden Point,TBL,all,C,77069,58,28
Jesper Boqvist,NJD,all,C,44114,23,10
Nathan MacKinnon,COL,all,C,82138,88,32
Julien Gauthier,NYR,all,R,30303,7,3
Jack Studnicka,BOS,all,C,11340,3,0
Brandon Saad,STL,all,L,76150,49,24
Logan Shaw,OTT,all,R,9566,3,1
Mike Hardman,CHI,all,L,11719,2,0
Jamie Benn,DAL,all,L,82396,46,18
Ben McCartney,ARI,all,L,1685,0,0
Markus Niemelainen,EDM,all,D,15833,1,0
Blake Wheeler,WPG,all,R,76201,60,17
Brad Richardson,VAN,all,R,27198,8,4
Ethan Bear,CAR,all,D,55959,14,5
Frederik Gauthier,NJD,all,C,5326,0,0
Alexander Barabanov,SJS,all,L,72159,39,10
Colton Sceviour,EDM,all,C,19894,5,2
Matthew Peca,STL,all,C,2890,1,0
Ian Cole,CAR,all,D,77184,19,2
Cole Smith,NSH,all,L,4241,0,0
Ethan Prow,BUF,all,D,3057,1,1
Jeff Carter,PIT,all,C,80579,45,19
Sam Bennett,FLA,all,C,72178,49,28
Michael Eyssimont,WPG,all,C,349,0,0
Seth Griffith,EDM,all,C,337,0,0
Kirby Dach,CHI,all,C,75786,26,9
Nathan Beaulieu,WPG,all,D,15509,4,0
Derrick Pouliot,SEA,all,D,10231,4,0
Brett Pesce,CAR,all,D,91143,28,7
Andreas Johnsson,NJD,all,L,61183,35,13
Austin Strand,LAK,all,D,7339,2,0
Lars Eller,WSH,all,C,69635,31,13
Sebastian Aho,CAR,all,C,89841,81,37
Brock McGinn,PIT,all,L,57581,22,12
Nate Thompson,PHI,all,C,23700,3,1
Brady Skjei,CAR,all,D,104020,39,9
Johnny Gaudreau,CGY,all,L,91388,115,40
Leo Komarov,NYI,all,R,650,0,0
Logan Stanley,WPG,all,D,54442,13,1
Nick Bjugstad,MIN,all,C,35091,13,7
Juuso Riikola,PIT,all,D,4016,1,0
Tanner Kero,DAL,all,C,13197,3,0
Ty Dellandrea,DAL,all,C,637,0,0
Jack McBain,ARI,all,C,8505,3,2
Leon Draisaitl,EDM,all,C,107276,110,55
Adam Erne,DET,all,L,63446,19,6
Jeff Petry,MTL,all,D,90254,27,6
Olli Maatta,LAK,all,D,72401,8,1
Martin Kaut,COL,all,R,3171,0,0
Gabriel Landeskog,COL,all,L,62172,59,30
MacKenzie Weegar,FLA,all,D,112188,44,8
Reese Johnson,CHI,all,C,19557,5,1
Madison Bowey,VAN,all,D,1888,0,0
Colton Sissons,NSH,all,C,76609,28,7
Brett Howden,VGK,all,C,30049,20,9
Kieffer Bellows,NYI,all,L,32034,19,6
Mikko Rantanen,COL,all,R,94355,92,36
Zack MacEwen,PHI,all,C,43485,9,3
Dylan Larkin,DET,all,C,83740,69,31
Andrew Poturalski,CAR,all,C,1217,2,0
Alex Vlasic,CHI,all,D,12878,2,1
Joey Anderson,TOR,all,R,2632,0,0
Samuel Girard,COL,all,D,86999,28,5
Sampo Ranta,COL,all,L,6536,0,0
Daniil Miromanov,VGK,all,D,6457,1,0
Anton Lundell,FLA,all,C,61375,44,18
Drake Batherson,OTT,all,R,52243,44,17
Brayden Schenn,STL,all,C,66145,58,24
Kyle Turris,EDM,all,C,11898,4,1
William Lockwood,VAN,all,R,8845,0,0
Filip Forsberg,NSH,all,L,74925,84,42
Gustav Forsling,FLA,all,D,90389,37,10
Thomas Bordeleau,SJS,all,C,7483,5,0
Carl Grundstrom,LAK,all,R,35283,15,9
Shane Pinto,OTT,all,C,3886,1,0
David Perron,STL,all,L,68285,57,27
Oliver Wahlstrom,NYI,all,R,52818,24,13
Kole Lind,SEA,all,R,16327,8,2
Patric Hornqvist,FLA,all,R,49493,28,11
Emil Bemstrom,CBJ,all,C,25881,11,6
Slater Koekkoek,EDM,all,D,12738,4,0
Dakota Mermis,MIN,all,D,1668,0,0
Dominik Simon,ANA,all,C,44435,13,3
Jack Eichel,VGK,all,C,39559,25,14
Darnell Nurse,EDM,all,D,106707,35,9
Brendan Gaunce,CBJ,all,C,14573,7,5
Blake Coleman,CGY,all,C,72028,33,16
Sidney Crosby,PIT,all,C,82694,84,31
Neal Pionk,WPG,all,D,97665,34,3
Tyson Barrie,EDM,all,D,83056,41,7
Drew Doughty,LAK,all,D,60222,31,7
Brock Boeser,VAN,all,R,79119,46,23
Peyton Krebs,BUF,all,C,49880,22,7
Ryan Dzingel,SJS,all,C,26327,8,5
Andrej Sekera,DAL,all,D,26332,4,1
Calle Rosen,STL,all,D,15474,7,2
Wayne Simmonds,TOR,all,R,40307,16,5
Ty Smith,NJD,all,D,69318,20,5
Jake Muzzin,TOR,all,D,58450,14,3
CJ Suess,WPG,all,L,1028,0,0
Max Domi,CAR,all,C,56313,39,11
Luke Kunin,NSH,all,C,68042,22,13
Colin Miller,BUF,all,D,43279,14,2
Dillon Heatherington,OTT,all,D,6660,0,0
Aleksi Heponiemi,FLA,all,C,5050,1,0
Kasper Bjorkqvist,PIT,all,R,3013,1,1
Nick Schmaltz,ARI,all,C,68975,59,23
Jacob Peterson,DAL,all,C,43146,17,12
Ryan Reaves,NYR,all,R,44088,13,5
Nikolaj Ehlers,WPG,all,L,67216,55,28
Matt Irwin,WSH,all,D,12895,4,1
Stefan Noesen,CAR,all,R,1719,0,0
Erik Johnson,COL,all,D,71949,20,7
Tucker Poolman,VAN,all,D,40803,3,1
Parker Kelly,OTT,all,L,26016,12,7
Mark Jankowski,BUF,all,C,15555,5,2
Scott Laughton,PHI,all,C,66014,30,11
Justin Braun,NYR,all,D,80923,18,6
Alex Belzile,MTL,all,R,6859,0,0
Teddy Blueger,PIT,all,C,58570,28,9
Noah Juulsen,VAN,all,D,7044,2,0
Alec Martinez,VGK,all,D,30483,8,3
J.T. Compher,COL,all,L,68554,33,18
Joel Hanley,DAL,all,D,31523,6,2
Alec Regula,CHI,all,D,16091,1,1
Ryan Johansen,NSH,all,C,78520,63,26
Sam Carrick,ANA,all,C,44034,19,11
Ondrej Palat,TBL,all,L,76190,49,18
Colton Parayko,STL,all,D,113069,35,6
Mattias Norlinder,MTL,all,D,4425,1,0
Filip Zadina,DET,all,R,62943,24,10
John Klingberg,DAL,all,D,98608,47,6
Nick Bonino,SJS,all,C,80159,26,16
Mike Matheson,PIT,all,D,83468,31,11
Travis Dermott,VAN,all,D,55209,7,2
Dominik Kubalik,CHI,all,L,67958,32,15
TJ Brodie,TOR,all,D,104852,28,4
Lucas Johansen,WSH,all,D,738,1,0
MacKenzie Entwistle,CHI,all,R,33815,12,5
Jesse Ylonen,MTL,all,R,9715,5,2
Yegor Chinakhov,CBJ,all,R,46511,14,7
Michael McLeod,NJD,all,C,61566,20,6
Joe Snively,WSH,all,C,8321,7,4
Gerry Mayhew,ANA,all,C,31621,12,11
Mathew Barzal,NYI,all,C,78926,59,15
Brian Dumoulin,PIT,all,D,99490,18,3
Justin Danforth,CBJ,all,R,33942,14,10
Klim Kostin,STL,all,C,21636,9,4
Brad Malone,EDM,all,C,3974,2,1
Cole Perfetti,WPG,all,C,15280,7,2
Liam O'Brien,ARI,all,C,22177,3,2
Cody Glass,NSH,all,C,5476,1,0
Anton Blidh,BOS,all,L,20593,9,2
Ryan Lomberg,FLA,all,L,37641,18,9
Ryan Ellis,PHI,all,D,5473,5,1
